H	dep-21-16	dep-21-20	dep-21-24	dep-21-28	dep-21-33	dep-21-37	dep-21-41	dep-21-45	dep-21-49	dep-21-54	dep-21-58	dep-22-02	dep-22-06	dep-22-10	dep-22-15	dep-22-19	dep-22-23	dep-22-27	dep-22-32	dep-22-36	dep-22-40
120	21.85648	24.28308	25.06555	27.74329	22.3016	21.66979	22.895	19.17729	23.59494	23.62848	22.68099	23.76277	27.05799	25.40345	28.26673	27.0252	24.14961	24.82455	25.03269	24.07191	22.35855
240	16.35283	17.57913	17.79655	19.01095	16.89014	16.80825	16.83179	14.8001	17.14148	17.27317	17.07587	17.62606	20.01677	19.10047	21.99293	20.39286	18.05771	18.36435	18.64109	18.16504	16.80538
360	10.1951	10.35733	10.09052	10.3374	10.8323	11.07534	10.13426	9.76963	10.17765	10.55901	10.62468	10.76525	12.60674	12.28519	14.24466	13.27845	11.65984	11.7373	11.63824	11.77648	10.86453
480	8.94443	8.8002	8.50619	8.87205	9.57929	9.42998	8.65163	8.55138	8.5196	8.6103	8.77333	8.67407	10.13564	9.79313	11.48461	10.10311	8.89202	8.72847	9.00182	9.40758	8.57542
600	8.26596	7.90172	7.68599	8.13109	8.63073	8.31416	7.859	7.7937	7.7186	7.69365	7.72676	7.5673	8.79364	8.48599	9.23392	7.88134	7.58998	7.41998	7.72989	8.10801	7.45334
720	7.60063	7.17509	7.02504	7.45484	7.78581	7.52604	7.23844	7.19978	7.17645	7.14645	7.05119	6.87197	7.99748	7.60438	7.7087	6.84746	6.77172	6.69685	6.8829	7.24641	6.7393
840	6.95265	6.66176	6.62918	6.95053	7.14176	6.97213	6.74112	6.6493	6.6266	6.62009	6.60682	6.4063	7.23419	6.91629	6.85679	6.28967	6.23617	6.24723	6.36537	6.63651	6.37358
960	6.52346	6.4787	6.49652	6.65306	6.75952	6.67248	6.47655	6.31015	6.25065	6.25389	6.31916	6.16421	6.71855	6.42626	6.33454	6.04582	6.04485	6.13088	6.15344	6.30268	6.22554
1080	6.3132	6.37937	6.44434	6.54934	6.67008	6.58964	6.41461	6.20959	6.11223	6.21454	6.29561	6.13867	6.30102	6.19575	6.10069	6.03485	6.08549	6.19194	6.16661	6.19647	6.26266
1200	6.23309	6.31761	6.42731	6.58078	6.7259	6.5948	6.43632	6.23161	6.14539	6.35751	6.4148	6.18196	6.08988	6.17975	6.06826	6.10214	6.17293	6.26074	6.27006	6.3017	6.33754
1320	6.21755	6.28122	6.41677	6.63305	6.81021	6.63448	6.49965	6.33019	6.28855	6.5096	6.48669	6.25694	6.13078	6.27059	6.13427	6.18861	6.24655	6.31107	6.33376	6.36319	6.36078
1440	6.22069	6.27628	6.37773	6.65759	6.81808	6.67188	6.57583	6.41947	6.46303	6.60323	6.52586	6.35634	6.26362	6.37236	6.24022	6.25509	6.31637	6.33615	6.35686	6.37057	6.38446
1560	6.22369	6.28069	6.33272	6.65553	6.77041	6.68791	6.64186	6.43381	6.57373	6.64698	6.54085	6.45648	6.39656	6.42208	6.3431	6.31017	6.36819	6.34443	6.36767	6.38144	6.40522
1680	6.22431	6.26056	6.27512	6.6237	6.68981	6.67963	6.68351	6.36005	6.60414	6.5871	6.54314	6.54178	6.47066	6.44562	6.41682	6.35629	6.40945	6.35266	6.38163	6.40838	6.44193
1800	6.21881	6.2211	6.21921	6.5653	6.60905	6.66938	6.68217	6.2059	6.53698	6.45972	6.49946	6.55182	6.47234	6.43585	6.46813	6.37932	6.42856	6.36396	6.40986	6.43765	6.45789
1920	6.17686	6.1305	6.17359	6.48133	6.51498	6.65526	6.66422	6.03092	6.401	6.33384	6.43216	6.52367	6.42604	6.37918	6.48846	6.37907	6.43115	6.39067	6.44216	6.46668	6.47071
2040	6.11651	6.0478	6.13963	6.40683	6.44638	6.65727	6.62368	5.87687	6.21744	6.20762	6.36672	6.45458	6.35784	6.3135	6.47731	6.36861	6.42785	6.44646	6.47563	6.48133	6.48502
2160	6.02291	5.9668	6.10904	6.32608	6.37363	6.63712	6.53055	5.74718	6.00553	6.13903	6.27243	6.39209	6.28746	6.23499	6.44888	6.34839	6.41326	6.46849	6.48469	6.50155	6.49055
2280	5.92465	5.8942	6.06988	6.2367	6.27721	6.52808	6.40844	5.65474	5.82759	6.07935	6.20094	6.35224	6.22704	6.1686	6.41052	6.34242	6.39779	6.48872	6.47533	6.5169	6.51543
2400	5.83481	5.8606	5.99325	6.13054	6.18004	6.34551	6.25436	5.59527	5.7216	6.02097	6.15868	6.30368	6.17998	6.12593	6.35109	6.33161	6.38646	6.46978	6.47261	6.53436	6.5332
2520	5.75428	5.82057	5.88795	5.99559	6.04388	6.10956	6.10214	5.5473	5.69874	5.97341	6.10623	6.23026	6.15075	6.09981	6.2876	6.31752	6.3624	6.42447	6.44866	6.55532	6.54314
2640	5.69189	5.78842	5.78418	5.87608	5.91545	5.88029	5.9998	5.49535	5.69623	5.93096	6.06941	6.10665	6.10983	6.0751	6.22453	6.30045	6.31469	6.38402	6.42421	6.54718	6.55977
2760	5.6402	5.76338	5.70143	5.80228	5.8073	5.74053	5.907	5.44357	5.68368	5.90083	6.03089	5.98812	6.0543	6.05454	6.17113	6.27701	6.27544	6.33049	6.41092	6.51917	6.56375
2880	5.61189	5.74038	5.65319	5.74405	5.72334	5.67084	5.82386	5.40097	5.63052	5.87523	5.97109	5.88819	6.00084	6.05507	6.12919	6.26387	6.22731	6.28165	6.37715	6.49471	6.56102
3000	5.63238	5.71433	5.73185	5.87768	5.75272	5.66481	5.8642	5.39459	5.57457	5.90674	5.9349	5.83095	5.9564	6.0374	6.09869	6.21919	6.19146	6.22999	6.35576	6.47008	6.5573
3120	6.04126	5.77662	6.82276	7.15834	6.75231	5.95386	7.01733	6.02799	5.6581	6.8361	6.3101	6.06443	5.97934	6.04801	6.07272	6.18149	6.18167	6.19767	6.32501	6.44964	6.5462
3240	8.26133	6.95903	10.40896	10.76202	10.24135	8.15754	10.74828	9.00193	7.16325	10.22626	8.9245	8.39851	6.73867	6.08064	6.04556	6.15754	6.14657	6.17122	6.28084	6.43962	6.54397
3360	12.91808	10.87204	15.87089	16.34284	15.67954	12.69309	16.17078	14.22207	11.432	15.30004	13.55519	13.10059	9.38106	6.5117	6.3833	6.30601	6.20723	6.20251	6.29207	6.475	6.56934
3480	18.58059	16.18376	22.09319	22.34617	21.83602	18.27221	22.45053	20.58859	16.90895	20.99368	18.87635	18.85634	12.41583	7.3608	7.31737	6.7298	6.43026	6.46426	6.6369	7.04256	6.74096
3600	24.2733	21.32972	26.81167	26.47603	26.53421	24.30761	27.34418	26.48692	23.24671	25.89074	24.28673	24.8284	15.17301	7.92334	8.18809	6.94853	6.65934	6.88017	7.09312	7.56163	7.3885
3720	27.1154	21.21029	27.93777	27.50036	27.75006	27.23453	28.62132	28.41052	27.44109	27.68957	26.75265	27.22189	16.60896	8.27816	8.37242	7.03569	6.81338	7.26182	7.42519	8.57915	8.98296
3840	26.48163	18.76697	26.06522	27.34368	27.65063	27.57238	28.60002	28.31567	28.12737	27.87577	27.44487	27.45415	16.25785	8.85627	8.19458	7.18606	6.98652	7.41777	7.5037	9.35704	10.78857
3960	24.8884	17.85658	25.17408	27.347	27.68818	27.76165	28.63888	28.24993	28.20244	27.91421	27.9911	27.62082	15.997	9.00947	7.51696	7.53985	7.36079	7.07991	7.15456	9.8472	13.02124
4080	23.2453	18.73553	24.28854	27.62884	27.80473	28.02992	28.69357	28.27645	28.30347	27.95205	28.41494	27.97338	16.28091	9.52649	6.88165	7.78968	7.54041	7.27921	7.1106	11.1048	15.40029
4200	20.04313	22.69083	24.50514	27.96901	27.9807	28.33096	28.80144	28.4046	28.41273	28.04006	28.58361	28.19343	16.73923	10.45607	6.45365	7.88842	7.51641	7.39157	7.85179	12.18159	16.04677
4320	18.48331	26.0038	26.51404	28.24241	28.26463	28.61223	28.95138	28.62127	28.54461	28.22202	28.54541	28.31388	17.32091	11.5776	5.75433	7.61657	7.2622	7.34433	9.02021	13.6235	16.75818
4440	18.7563	26.4301	27.42904	28.48757	28.60509	28.85652	29.17978	28.88612	28.68843	28.49918	28.44324	28.56576	18.53901	12.94578	5.38739	6.60828	6.58094	7.2899	9.8273	15.15871	16.67318
4560	19.91633	26.79682	28.66851	28.65279	28.99448	29.14367	29.55027	29.18574	28.81601	28.77416	28.30665	28.66362	20.08084	14.59006	5.21315	5.77148	5.67919	6.38956	10.49908	15.52273	15.84181
