H	FLcap_21-16	FLcap_21-20	FLcap_21-24	FLcap_21-28	FLcap_21-33	FLcap_21-37	FLcap_21-41	FLcap_21-45	FLcap_21-49	FLcap_21-54	FLcap_21-58	FLcap_22-02	FLcap_22-06	FLcap_22-10	FLcap_22-15	FLcap_22-19	FLcap_22-23	FLcap_22-27	FLcap_22-32	FLcap_22-36	FLcap_22-40
120	8.15E-04	8.67E-04	9.40E-04	0.00106	8.83E-04	8.01E-04	9.51E-04	8.72E-04	8.69E-04	8.32E-04	8.46E-04	7.32E-04	7.43E-04	6.46E-04	6.55E-04	5.73E-04	5.89E-04	5.97E-04	6.32E-04	6.18E-04	6.49E-04
240	4.53E-04	4.66E-04	4.97E-04	5.33E-04	4.57E-04	4.36E-04	5.10E-04	4.90E-04	4.85E-04	4.72E-04	4.63E-04	4.26E-04	4.18E-04	3.78E-04	3.65E-04	3.39E-04	3.63E-04	3.68E-04	3.77E-04	3.65E-04	3.82E-04
360	2.00E-04	1.93E-04	1.97E-04	2.02E-04	1.89E-04	1.89E-04	2.09E-04	2.13E-04	2.09E-04	2.05E-04	2.03E-04	1.99E-04	1.79E-04	1.79E-04	1.66E-04	1.63E-04	1.78E-04	1.74E-04	1.76E-04	1.76E-04	1.83E-04
480	1.66E-04	1.58E-04	1.65E-04	1.69E-04	1.57E-04	1.56E-04	1.73E-04	1.76E-04	1.74E-04	1.74E-04	1.70E-04	1.68E-04	1.61E-04	1.60E-04	1.48E-04	1.50E-04	1.62E-04	1.64E-04	1.63E-04	1.55E-04	1.62E-04
600	1.56E-04	1.53E-04	1.58E-04	1.59E-04	1.48E-04	1.52E-04	1.62E-04	1.64E-04	1.64E-04	1.64E-04	1.62E-04	1.62E-04	1.64E-04	1.60E-04	1.54E-04	1.62E-04	1.66E-04	1.71E-04	1.64E-04	1.54E-04	1.64E-04
720	1.48E-04	1.50E-04	1.55E-04	1.54E-04	1.44E-04	1.48E-04	1.56E-04	1.54E-04	1.55E-04	1.55E-04	1.54E-04	1.55E-04	1.59E-04	1.61E-04	1.60E-04	1.73E-04	1.78E-04	1.84E-04	1.75E-04	1.61E-04	1.86E-04
840	1.45E-04	1.52E-04	1.56E-04	1.51E-04	1.40E-04	1.46E-04	1.54E-04	1.53E-04	1.53E-04	1.51E-04	1.49E-04	1.54E-04	1.60E-04	1.65E-04	1.65E-04	1.87E-04	1.98E-04	2.05E-04	1.99E-04	1.88E-04	2.17E-04
960	1.45E-04	1.53E-04	1.56E-04	1.49E-04	1.39E-04	1.50E-04	1.60E-04	1.60E-04	1.58E-04	1.57E-04	1.53E-04	1.59E-04	1.60E-04	1.81E-04	1.76E-04	2.14E-04	2.28E-04	2.35E-04	2.33E-04	2.22E-04	2.56E-04
1080	1.46E-04	1.50E-04	1.52E-04	1.48E-04	1.39E-04	1.53E-04	1.66E-04	1.66E-04	1.64E-04	1.67E-04	1.59E-04	1.67E-04	1.67E-04	2.11E-04	1.96E-04	2.39E-04	2.59E-04	2.59E-04	2.62E-04	2.63E-04	2.89E-04
1200	1.45E-04	1.47E-04	1.47E-04	1.45E-04	1.35E-04	1.55E-04	1.71E-04	1.70E-04	1.71E-04	1.77E-04	1.66E-04	1.84E-04	1.86E-04	2.47E-04	2.21E-04	2.57E-04	2.79E-04	2.76E-04	2.82E-04	2.86E-04	2.92E-04
